

*******************************************************************************
Ephemeris / WWW_USER Sun Sep  8 01:45:47 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 4 (position, LT, range, and range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************
$$SOE
2458896.500000000, A.D. 2020-Feb-17 00:00:00.0000, -1.246479548299256E+08,  7.940620684660488E+07, -3.505310812566429E+03,  4.929808566043567E+02,  1.477919427483656E+08,  3.612144403337278E-01,
2458897.500000000, A.D. 2020-Feb-18 00:00:00.0000, -1.260545769848179E+08,  7.721397434537816E+07, -3.312371711451560E+03,  4.930857487517321E+02,  1.478233886230522E+08,  3.666037428530596E-01,
2458898.500000000, A.D. 2020-Feb-19 00:00:00.0000, -1.274225652503081E+08,  7.499781741918567E+07, -3.113445049747825E+03,  4.931921149600429E+02,  1.478552764100898E+08,  3.714562875551403E-01,
2458899.500000000, A.D. 2020-Feb-20 00:00:00.0000, -1.287514709809353E+08,  7.275843599926460E+07, -2.913493938963860E+03,  4.932998115130076E+02,  1.478875630244212E+08,  3.758490291522527E-01,
2458900.500000000, A.D. 2020-Feb-21 00:00:00.0000, -1.300408627382613E+08,  7.049654731628169E+07, -2.717200073432177E+03,  4.934087173873287E+02,  1.479202121841746E+08,  3.798619902125734E-01,
2458901.500000000, A.D. 2020-Feb-22 00:00:00.0000, -1.312903280255459E+08,  6.821288398236787E+07, -2.528796166483313E+03,  4.935187347523250E+02,  1.479531945604495E+08,  3.835757405232889E-01,
2458902.500000000, A.D. 2020-Feb-23 00:00:00.0000, -1.324994746195255E+08,  6.590819200044240E+07, -2.351934308003634E+03,  4.936297888356263E+02,  1.479864877370534E+08,  3.870694131747906E-01,
2458903.500000000, A.D. 2020-Feb-24 00:00:00.0000, -1.336679315346572E+08,  6.358322872776618E+07, -2.189587376195937E+03,  4.937418272429860E+02,  1.480200760065861E+08,  3.904188773496178E-01,
2458904.500000000, A.D. 2020-Feb-25 00:00:00.0000, -1.347953496301634E+08,  6.123876084054378E+07, -2.043983026407659E+03,  4.938548187764561E+02,  1.480539500161383E+08,  3.936951201860916E-01,
2458905.500000000, A.D. 2020-Feb-26 00:00:00.0000, -1.358814018813256E+08,  5.887556236991630E+07, -1.916568989254534E+03,  4.939687518504601E+02,  1.480881062924415E+08,  3.969631311443424E-01,
2458906.500000000, A.D. 2020-Feb-27 00:00:00.0000, -1.369257833709339E+08,  5.649441288306822E+07, -1.808005348093808E+03,  4.940836326969454E+02,  1.481225467037864E+08,  4.002815951987603E-01,
2458907.500000000, A.D. 2020-Feb-28 00:00:00.0000, -1.379282110937461E+08,  5.409609585722373E+07, -1.718175913695246E+03,  4.941994836181265E+02,  1.481572779362089E+08,  4.037035325264924E-01,
2458908.500000000, A.D. 2020-Feb-29 00:00:00.0000, -1.388884236870220E+08,  5.168139724350893E+07, -1.646208540182561E+03,  4.943163415485480E+02,  1.481923110624067E+08,  4.072777615508834E-01,
2458909.500000000, A.D. 2020-Mar-01 00:00:00.0000, -1.398061811917705E+08,  4.925110415444568E+07, -1.590494415268302E+03,  4.944342571128095E+02,  1.482276612592531E+08,  4.110507872291436E-01,
2458910.500000000, A.D. 2020-Mar-02 00:00:00.0000, -1.406812649076679E+08,  4.680600354731851E+07, -1.548699545674026E+03,  4.945532942129042E+02,  1.482633476840837E+08,  4.150684575520713E-01,
2458911.500000000, A.D. 2020-Mar-03 00:00:00.0000, -1.415134773284175E+08,  4.434688072917384E+07, -1.517768058236688E+03,  4.946735299531933E+02,  1.482993934522044E+08,  4.193764765867952E-01,
2458912.500000000, A.D. 2020-Mar-04 00:00:00.0000, -1.423026420325584E+08,  4.187451749389703E+07, -1.493926751036197E+03,  4.947950544115622E+02,  1.483358255682860E+08,  4.240186120852033E-01,
2458913.500000000, A.D. 2020-Mar-05 00:00:00.0000, -1.430486032601647E+08,  3.938968974412142E+07, -1.472713487664238E+03,  4.949179694050358E+02,  1.483726745563045E+08,  4.290312971617359E-01,
2458914.500000000, A.D. 2020-Mar-06 00:00:00.0000, -1.437512247505385E+08,  3.689316459192768E+07, -1.449066872399300E+03,  4.950423850499042E+02,  1.484099734282932E+08,  4.344336238688009E-01,
2458915.500000000, A.D. 2020-Mar-07 00:00:00.0000, -1.444103873180138E+08,  3.438569721494207E+07, -1.417525440029800E+03,  4.951684127824602E+02,  1.484477555920123E+08,  4.402130179415000E-01,
2458916.500000000, A.D. 2020-Mar-08 00:00:00.0000, -1.450259847355143E+08,  3.186802816082249E+07, -1.372579501194879E+03,  4.952961539476725E+02,  1.484860514299192E+08,  4.463096038610110E-01,
2458917.500000000, A.D. 2020-Mar-09 00:00:00.0000, -1.455979179341489E+08,  2.934088219756727E+07, -1.309182900652289E+03,  4.954256844412374E+02,  1.485248836949709E+08,  4.526057976854592E-01,
2458918.500000000, A.D. 2020-Mar-10 00:00:00.0000, -1.461260883310285E+08,  2.680496987368333E+07, -1.223361197631806E+03,  4.955570381102642E+02,  1.485642625342758E+08,  4.589293746657891E-01,
2458919.500000000, A.D. 2020-Mar-11 00:00:00.0000, -1.466103919393146E+08,  2.426099234087564E+07, -1.112773595822975E+03,  4.956901936257327E+02,  1.486041815535543E+08,  4.650746059082425E-01,
2458920.500000000, A.D. 2020-Mar-12 00:00:00.0000, -1.470507161588502E+08,  2.170964875177173E+07, -9.770550453644246E+02,  4.958250696208660E+02,  1.486446163596605E+08,  4.708368376215522E-01,
2458921.500000000, A.D. 2020-Mar-13 00:00:00.0000, -1.474469403630248E+08,  1.915164435195585E+07, -8.178254405530170E+02,  4.959615301944046E+02,  1.486855262104218E+08,  4.760472893641866E-01,
2458922.500000000, A.D. 2020-Mar-14 00:00:00.0000, -1.477989399378609E+08,  1.658769709372747E+07, -6.383801226019859E+02,  4.960993987816815E+02,  1.487268581730825E+08,  4.805946064132704E-01,
2458923.500000000, A.D. 2020-Mar-15 00:00:00.0000, -1.481065922417549E+08,  1.401854140884737E+07, -4.431873454088345E+02,  4.962384755921548E+02,  1.487685523519451E+08,  4.844281100101310E-01,
2458924.500000000, A.D. 2020-Mar-16 00:00:00.0000, -1.483697827085903E+08,  1.144492904010767E+07, -2.373497228636406E+02,  4.963785538008411E+02,  1.488105467424394E+08,  4.875471816347623E-01,
2458925.500000000, A.D. 2020-Mar-17 00:00:00.0000, -1.485884098839546E+08,  8.867627736592174E+06, -2.614327975781634E+01,  4.965194316951026E+02,  1.488527808726379E+08,  4.899851987400765E-01,
2458926.500000000, A.D. 2020-Mar-18 00:00:00.0000, -1.487623889790698E+08,  6.287418858094260E+06,  1.853209040933289E+02,  4.966609202624295E+02,  1.488951980780157E+08,  4.917947860737245E-01,
2458927.500000000, A.D. 2020-Mar-19 00:00:00.0000, -1.488916540970004E+08,  3.705094705486523E+06,  3.923197223106399E+02,  4.968028471278784E+02,  1.489377466818649E+08,  4.930374557444718E-01,
2458928.500000000, A.D. 2020-Mar-20 00:00:00.0000, -1.489761595187761E+08,  1.121456023167031E+06,  5.906564821084612E+02,  4.969450581816126E+02,  1.489803804832187E+08,  4.937778082488570E-01,
2458929.500000000, A.D. 2020-Mar-21 00:00:00.0000, -1.490158804310093E+08, -1.462690184800286E+06,  7.767472689191345E+02,  4.970874180552307E+02,  1.490230588996512E+08,  4.940810971517695E-01,
2458930.500000000, A.D. 2020-Mar-22 00:00:00.0000, -1.490108133647598E+08, -4.046532560061080E+06,  9.476791988268960E+02,  4.972298102042545E+02,  1.490657469920069E+08,  4.940127029066723E-01,
2458931.500000000, A.D. 2020-Mar-23 00:00:00.0000, -1.489609764885561E+08, -6.629257118846040E+06,  1.101253803499974E+03,  4.973721369671919E+02,  1.491084154821071E+08,  4.936383338758226E-01,
2458932.500000000, A.D. 2020-Mar-24 00:00:00.0000, -1.488664097996128E+08, -9.210048902490236E+06,  1.236020056077279E+03,  4.975143196920270E+02,  1.491510407906705E+08,  4.930242058389631E-01,
2458933.500000000, A.D. 2020-Mar-25 00:00:00.0000, -1.487271752003120E+08, -1.178809360932003E+07,  1.351296272052452E+03,  4.976562988681585E+02,  1.491936050768678E+08,  4.922368788504165E-01,
2458934.500000000, A.D. 2020-Mar-26 00:00:00.0000, -1.485433564303433E+08, -1.436257922253965E+07,  1.447178375084884E+03,  4.977980341616768E+02,  1.492360962488970E+08,  4.913427764981185E-01,
2458935.500000000, A.D. 2020-Mar-27 00:00:00.0000, -1.483150588382424E+08, -1.693269761694097E+07,  1.524533011038788E+03,  4.979395042941316E+02,  1.492785079276392E+08,  4.904076311924209E-01,
2458936.500000000, A.D. 2020-Mar-28 00:00:00.0000, -1.480424090032761E+08, -1.949764612029594E+07,  1.584976357290521E+03,  4.980807067876799E+02,  1.493208393702558E+08,  4.894961580273094E-01,
2458937.500000000, A.D. 2020-Mar-29 00:00:00.0000, -1.477255542411603E+08, -2.205662902512618E+07,  1.630841563301161E+03,  4.982216576751334E+02,  1.493630953832628E+08,  4.886721529502013E-01,
2458938.500000000, A.D. 2020-Mar-30 00:00:00.0000, -1.473646620281116E+08, -2.460885908556893E+07,  1.665138031499460E+03,  4.983623912968825E+02,  1.494052862616502E+08,  4.879989617275407E-01,
2458939.500000000, A.D. 2020-Mar-31 00:00:00.0000, -1.469599193456166E+08, -2.715355907695544E+07,  1.691503094768152E+03,  4.985029602424620E+02,  1.494474277713639E+08,  4.875399138543298E-01,
2458940.500000000, A.D. 2020-Apr-01 00:00:00.0000, -1.465115318783955E+08, -2.968996352146945E+07,  1.714140568107367E+03,  4.986434353189615E+02,  1.494895411398355E+08,  4.873579028516027E-01,
2458941.500000000, A.D. 2020-Apr-02 00:00:00.0000, -1.460197228947349E+08, -3.221732066535861E+07,  1.737731444774196E+03,  4.987839051324846E+02,  1.495316529305063E+08,  4.875128875074317E-01,
2458942.500000000, A.D. 2020-Apr-03 00:00:00.0000, -1.454847315215293E+08, -3.473489469929902E+07,  1.767291341898963E+03,  4.989244744743630E+02,  1.495737945590275E+08,  4.880558540473875E-01,
2458943.500000000, A.D. 2020-Apr-04 00:00:00.0000, -1.449068100455421E+08, -3.724196801236556E+07,  1.807941495263949E+03,  4.990652603087939E+02,  1.496160010903832E+08,  4.890180949036030E-01,
2458944.500000000, A.D. 2020-Apr-05 00:00:00.0000, -1.442862199213959E+08, -3.973784295978350E+07,  1.864563502939418E+03,  4.992063840042456E+02,  1.496583089099247E+08,  4.903961193614109E-01,
2458945.500000000, A.D. 2020-Apr-06 00:00:00.0000, -1.436232264691537E+08, -4.222184229117486E+07,  1.941333876458928E+03,  4.993479589389634E+02,  1.497007520075949E+08,  4.921355120496435E-01,
2458946.500000000, A.D. 2020-Apr-07 00:00:00.0000, -1.429180928608611E+08, -4.469330725737562E+07,  2.041188883880153E+03,  4.994900741093994E+02,  1.497433570638590E+08,  4.941207578345372E-01,
2458947.500000000, A.D. 2020-Apr-08 00:00:00.0000, -1.421710747525182E+08, -4.715159279959985E+07,  2.165338681194931E+03,  4.996327767042035E+02,  1.497861382255183E+08,  4.961794971954492E-01,
2458948.500000000, A.D. 2020-Apr-09 00:00:00.0000, -1.413824173229019E+08, -4.959606023606993E+07,  2.312988861300051E+03,  4.997760585777381E+02,  1.498290930505721E+08,  4.981052915785897E-01,
2458949.500000000, A.D. 2020-Apr-10 00:00:00.0000, -1.405523560045261E+08, -5.202606907881948E+07,  2.481388951297849E+03,  4.999198513949217E+02,  1.498722010526783E+08,  4.996932097287089E-01,
2458950.500000000, A.D. 2020-Apr-11 00:00:00.0000, -1.396811208605737E+08, -5.444097020185150E+07,  2.666210761841387E+03,  5.000640322493630E+02,  1.499154253854278E+08,  5.007743434858695E-01,
2458951.500000000, A.D. 2020-Apr-12 00:00:00.0000, -1.387689431668369E+08, -5.684010202379402E+07,  2.862133618753403E+03,  5.002084374163830E+02,  1.499587169653966E+08,  5.012361673271449E-01,
2458952.500000000, A.D. 2020-Apr-13 00:00:00.0000, -1.378160622023605E+08, -5.922279004526727E+07,  3.063459876116365E+03,  5.003528793133380E+02,  1.500020195567229E+08,  5.010246431777147E-01,
2458953.500000000, A.D. 2020-Apr-14 00:00:00.0000, -1.368227307186075E+08, -6.158834890454143E+07,  3.264621782500297E+03,  5.004971619729636E+02,  1.500452744098989E+08,  5.001331233620795E-01,
2458954.500000000, A.D. 2020-Apr-15 00:00:00.0000, -1.357892184933687E+08, -6.393608566731719E+07,  3.460522590685636E+03,  5.006410924312081E+02,  1.500884236757571E+08,  4.985864388632443E-01,
2458955.500000000, A.D. 2020-Apr-16 00:00:00.0000, -1.347158141501158E+08, -6.626530327559873E+07,  3.646724330727011E+03,  5.007844876514980E+02,  1.501314124813132E+08,  4.964266042852008E-01,
2458956.500000000, A.D. 2020-Apr-17 00:00:00.0000, -1.336028257797681E+08, -6.857530355315447E+07,  3.819527863979340E+03,  5.009271779411595E+02,  1.501741899539836E+08,  4.937029711948050E-01,
2458957.500000000, A.D. 2020-Apr-18 00:00:00.0000, -1.324505809182200E+08, -7.086538958647169E+07,  3.975993650887161E+03,  5.010690082089474E+02,  1.502167095985825E+08,  4.904669743360284E-01,
2458958.500000000, A.D. 2020-Apr-19 00:00:00.0000, -1.312594262877446E+08, -7.313486755664267E+07,  4.113939573518932E+03,  5.012098382454469E+02,  1.502589293813849E+08,  4.867703818337901E-01,
2458959.500000000, A.D. 2020-Apr-20 00:00:00.0000, -1.300297275349620E+08, -7.538304820542167E+07,  4.231936890222132E+03,  5.013495428421597E+02,  1.503008117658274E+08,  4.826657107536898E-01,
2458960.500000000, A.D. 2020-Apr-21 00:00:00.0000, -1.287618690520966E+08, -7.760924813156176E+07,  4.329312448691577E+03,  5.014880121997666E+02,  1.503423238349020E+08,  4.782076484644582E-01,
2458961.500000000, A.D. 2020-Apr-22 00:00:00.0000, -1.274562538666703E+08, -7.981279107669285E+07,  4.406156133532524E+03,  5.016251527830669E+02,  1.503834375474612E+08,  4.734546112712655E-01,
2458962.500000000, A.D. 2020-Apr-23 00:00:00.0000, -1.261133035255244E+08, -8.199300930158384E+07,  4.463327085755765E+03,  5.017608885724409E+02,  1.504241301133962E+08,  4.684698653163286E-01,
