jdtdb,calendar,x,y,z,lt,rg,rr
2459573.500000000,A.D. 2021-Dec-25 00:00:00.0000,4.432641500019489E+09,-6.152342069923775E+08,-8.949214760799983E+07,1.493042452904028E+04,4.476028668544478E+09,-3.407818213459543E-02
2459574.500000000,A.D. 2021-Dec-26 00:00:00.0000,4.432703403064033E+09,-6.147649839422752E+08,-8.950320221447873E+07,1.493041470199754E+04,4.476025722471179E+09,-3.411872709864223E-02
2459575.500000000,A.D. 2021-Dec-27 00:00:00.0000,4.432765253624802E+09,-6.142957488102617E+08,-8.951424993149731E+07,1.493040486260565E+04,4.476022772695701E+09,-3.416388091316035E-02
2459576.500000000,A.D. 2021-Dec-28 00:00:00.0000,4.432827051276597E+09,-6.138265017791995E+08,-8.952529056923202E+07,1.493039500953620E+04,4.476019818819793E+09,-3.421364465504879E-02
2459577.500000000,A.D. 2021-Dec-29 00:00:00.0000,4.432888795594218E+09,-6.133572430320507E+08,-8.953632393788302E+07,1.493038514146048E+04,4.476016860445116E+09,-3.426801912507655E-02
2459578.500000000,A.D. 2021-Dec-30 00:00:00.0000,4.432950486152499E+09,-6.128879727519099E+08,-8.954734984767815E+07,1.493037525704961E+04,4.476013897173284E+09,-3.432700476207279E-02
2459579.500000000,A.D. 2021-Dec-31 00:00:00.0000,4.433012122526332E+09,-6.124186911220334E+08,-8.955836810887945E+07,1.493036535497464E+04,4.476010928605890E+09,-3.439060154506108E-02
2459580.500000000,A.D. 2022-Jan-01 00:00:00.0000,4.433073704290709E+09,-6.119493983258691E+08,-8.956937853178886E+07,1.493035543390672E+04,4.476007954344552E+09,-3.445880888460209E-02
2459581.500000000,A.D. 2022-Jan-02 00:00:00.0000,4.433135233381066E+09,-6.114800996927201E+08,-8.958038754992512E+07,1.493034550310191E+04,4.476004977164169E+09,-3.445681817067367E-02
2459582.500000000,A.D. 2022-Jan-03 00:00:00.0000,4.433196712253649E+09,-6.110108002015598E+08,-8.959140169901329E+07,1.493033557337734E+04,4.476002000307631E+09,-3.445131154970019E-02
2459583.500000000,A.D. 2022-Jan-04 00:00:00.0000,4.433258141264988E+09,-6.105414995106896E+08,-8.960242094274756E+07,1.493032564574712E+04,4.475999024078966E+09,-3.444228294138973E-02
2459584.500000000,A.D. 2022-Jan-05 00:00:00.0000,4.433319520771985E+09,-6.100721972786572E+08,-8.961344524489266E+07,1.493031572122730E+04,4.475996048782774E+09,-3.442972524835969E-02
2459585.500000000,A.D. 2022-Jan-06 00:00:00.0000,4.433380851132011E+09,-6.096028931642382E+08,-8.962447456929076E+07,1.493030580083611E+04,4.475993074724315E+09,-3.441363028832308E-02
